context,label
"I do well, thanks for asking. ",Speaker Responsive
"Yeah, I'm, I'm recently married. And so my husband and I moved in together. And up until then I I've lived by myself. My whole adult life. So apparently the craziest things have been happening. While I've been sleeping. several, several nights I've woken him up screaming. I'm screaming. Apparently a very vulgar, profane, profane the words and So that's a little alarming to him. And I've even, you know, we've been hitting him in the middle of the night. You know, he's waking up with these huge bruises on his arms. And so yeah, apparently, a behavior in the middle of the night is out of hand.",Speaker Initiative
"Yes. Um, I participated in a sleep study and what they say they rolled out some some other things and thought that maybe it was a behavior, Sleep Disorder. So they have referred me to you, I'm still working with them. Now. They're still running some tests and everything but they thought maybe there are some other stressors or underlying things, so",Speaker Initiative
"Colby? Um, well, I'm just little worried that it's going to affect my marriage and that my husband will not be able to deal with that. So I would just really like to figure out how to keep my relationship with Him successful with it. So overcome these issues.",Speaker Initiative
"Usually I wake up and he's like, what are you doing? I was having the worst dream. So those dreams are kind of what he's telling me are aligning. What my behavior is, my dreams are aligning with those. So you know, I don't feel anything. It doesn't feel like I've been anything. I have. I've met a couple times and woken up, but no people do that. So I didn't really think anything of it. But now I'm starting to wonder. Yeah, it's it's a little strange. So Oh, concerning.",Speaker Initiative
"Yeah, I mean, I would, I wouldn't have known. I've lived by myself. But you know, I, before I had fallen out of bed a couple times, and, you know, my sheets and pillows are always everywhere when I wake up, but I didn't really think anything of it. So kind of making the connections now.",Speaker Initiative
"after you go to sleep? I'm in the middle of the night he has. He said at first he thought I was joking around But, yeah, no, no, I am waking him up, you know. So",Speaker Initiative
No.,General
"that he's, he's usually around electronic cash snapping he says it hasn't happened and so. Alright.",Speaker Initiative
Yeah.,Speaker Initiative
"Yeah, that would probably be helpful for him to kind of get this side of things too.",Speaker Initiative
"Yes, yes.",General
yeah.,Speaker Initiative
No.,Speaker Initiative
They're not married.,Speaker Initiative
Yeah.,Speaker Initiative
I was about 16.,Speaker Initiative
I think it was about 18.,Speaker Initiative
"Well, yeah, I mean, it was pretty much right after they got divorced. She married some guy. I don't even know he was nice guy, but it was like six months after pretty much like real fast. Um, and then that didn't last very long. Forgive me, I have to remember like how long they were together because there's so many. But I believe that they were only together for not even a year. And then she kind of had some time where she just was dating But it was numerous people. And then she met somebody in her a meeting. And they married. That lasted, that they probably got married.",Speaker Initiative
Yeah.,Speaker Initiative
"Yes, that's a third and then this one would be Oh, yeah, the fourth the fourth. Okay.",Speaker Initiative
"No, no. Now she's, I don't know, just dating or whatever she was",Speaker Initiative
was three years that was the longest.,Speaker Initiative
"Um, it's good, I guess. I mean,",Speaker Initiative
